Sites,Area,Date,Type,KmWalked,NestSiteErate
Itombwe,5600,2013-2014,Recce,1130.52,0.02
Balala,400,2013,Recce,NA,0.00
Kahuzi-Biega Tshivanga,600,2014-2015,Recce,4273.71,1.10
Kahuzi-Biega Itebero,2925,2014-2015,Recce,172.38,0.30
Kahuzi-Biega Nzovu,1921,2014,Transect,53.06,0.11
Kahuzi-Biega Kasese,716,2015,Transect,59.46,0.23
Fodi,200,2011-2015,Transect,NA,0.34
Tayna,900,2013,Transect,11.96,0.25
Kisimba-Ikobo,971,2013,Transect,11.06,0.00
RGPU-North,2400,2014-2015,Recce,668.93,0.17
RGPU-East,2000,2014-2015,Recce,352.97,0.65
Maiko,975,2015,Recce,1408.14,0.00
Lubutu,1056,2010,Recce,230.3,0.00
Usala,1152,2010-2013,Recce,212.76,1.37
Regomuki,1480,2013,Recce,113.6,0.22
