Cell,EW,NS,Trials,Presences
112,307500,9347500,10,0
142,457500,9347500,10,0
177,632500,9347500,10,0
196,727500,9347500,10,0
246,432500,9352500,10,0
264,522500,9352500,10,0
319,797500,9352500,10,0
330,307500,9357500,10,0
357,442500,9357500,10,0
387,592500,9357500,10,0
512,672500,9362500,10,0
560,367500,9367500,10,0
620,667500,9367500,10,0
630,717500,9367500,10,0
652,827500,9367500,10,0
700,522500,9372500,10,0
866,807500,9377500,10,0
875,307500,9382500,10,0
950,682500,9382500,10,0
956,712500,9382500,10,0
957,717500,9382500,6,0
1065,712500,9387500,10,0
1066,717500,9387500,5,0
1176,722500,9392500,3,0
1177,727500,9392500,1,0
1180,742500,9392500,10,0
1181,747500,9392500,7,0
1182,752500,9392500,18,0
1196,822500,9392500,10,0
1286,727500,9397500,3,0
1390,702500,9402500,9,0
1391,707500,9402500,14,0
1392,712500,9402500,4,0
1394,722500,9402500,7,0
1395,727500,9402500,3,0
1399,747500,9402500,6,0
1401,757500,9402500,6,0
1499,702500,9407500,10,0
1500,707500,9407500,3,0
1502,717500,9407500,3,0
1503,722500,9407500,8,0
1615,737500,9412500,10,0
1723,732500,9417500,6,0
1724,737500,9417500,5,0
1791,527500,9422500,10,0
1820,672500,9422500,10,0
1832,732500,9422500,4,0
1833,737500,9422500,3,0
1874,397500,9427500,10,0
1930,677500,9427500,3,0
1931,682500,9427500,14,0
1933,692500,9427500,6,0
1941,732500,9427500,2,0
2002,492500,9432500,10,0
2041,687500,9432500,6,0
2042,692500,9432500,14,0
2049,727500,9432500,3,0
2050,732500,9432500,14,0
2051,737500,9432500,1,0
2128,577500,9437500,10,0
2154,707500,9437500,10,0
2158,727500,9437500,11,0
2159,732500,9437500,3,0
2170,787500,9437500,10,0
2260,692500,9442500,10,0
2271,747500,9442500,6,0
2372,707500,9447500,2,0
2379,742500,9447500,10,0
2469,647500,9452500,10,0
2481,707500,9452500,8,0
2482,712500,9452500,1,0
2484,722500,9452500,10,0
2534,427500,9457500,10,0
2585,682500,9457500,10,0
2658,502500,9462500,10,0
2691,667500,9462500,10,0
2788,607500,9467500,10,0
2939,817500,9472500,10,0
3003,592500,9477500,10,0
3028,717500,9477500,6,0
3029,722500,9477500,4,0
3125,657500,9482500,1,0
3126,662500,9482500,7,0
3127,667500,9482500,5,0
3128,672500,9482500,1,0
3129,677500,9482500,4,0
3135,707500,9482500,3,0
3136,712500,9482500,10,0
3137,717500,9482500,4,0
3138,722500,9482500,1,0
3161,292500,9487500,10,0
3195,462500,9487500,10,0
3226,617500,9487500,10,0
3230,637500,9487500,1,0
3234,657500,9487500,3,0
3235,662500,9487500,4,0
3243,702500,9487500,5,0
3244,707500,9487500,2,0
